question,generated_answer,latency,faithfulness,context_relevancy,answer_correctness,strategy
Što je eRačun i mora li biti u PDF formatu?,"eRačun je elektronički račun koji se koristi za fiskalizaciju prometa gotovinom. Nije specificirano da eRačun mora biti u PDF formatu, stoga se može pretpostaviti da postoje i drugi formati koji su prihvatljivi.",2.313932418823242,0.3,0.4,0.2,micro_overlap20
Tko se smatra izdavateljem i primateljem eRačuna prema Zakonu o fiskalizaciji?,"Izdavateljem eRačuna smatra se osoba ili pravna osoba koja izdaje eRačun, dok je primateljem eRačuna osoba ili pravna osoba koja prima eRačun.",1.119593858718872,0.5,0.5,0.5,micro_overlap20
Od kada obveznici koji nisu u sustavu PDV-a moraju izdavati i zaprimati eRačune?,Informacije o tome od kada obveznici koji nisu u sustavu PDV-a moraju izdavati i zaprimati eRačune nisu dostupne u dostavljenim podacima.,1.2695412635803223,0.0,0.0,0.0,micro_overlap20
Što je fiskalizacija eRačuna i kada se mora provesti?,"Fiskalizacija eRačuna odnosi se na postupak koji osigurava da su računi izdani u skladu s propisima i da sadrže sve potrebne podatke. Ovaj postupak se mora provesti prilikom izdavanja računa, a uključuje obvezu izdavanja računa prema propisima koji uređuju fiskalizaciju. Fiskalizacija se također primjenjuje na prodaju putem samoposlužnih uređaja.",2.174726724624634,0.5,0.5,0.5,micro_overlap20
Koje su glavne razlike između Fiskalizacije 1.0 i Fiskalizacije 2.0?,Nema informacija o razlikama između Fiskalizacije 1.0 i Fiskalizacije 2.0 u dostupnom sadržaju.,1.0004117488861084,0.0,0.0,0.0,micro_overlap20
Što je pristupna točka i tko može biti pristupna točka?,Informacije o pristupnoj točki nisu navedene. Preporučujem da potražite dodatne izvore ili dokumente koji se bave tim pojmom.,1.241105079650879,0.0,0.0,0.0,micro_overlap20
Što mora informacijski posrednik napraviti da bi mogao pružati usluge?,Informacijski posrednik koji je brisan s Popisa informacijskih posrednika mora ispuniti uvjete propisane člankom 59. kako bi mogao dalje obavljati poslove prema odredbama Zakona.,1.2919471263885498,0.0,0.5,0.0,micro_overlap20
Što je aplikacija MIKROeRAČUN i tko je može koristiti?,Aplikacija MIKROeRAČUN je besplatna aplikacija koja se može koristiti za upravljanje eRačunima. Svi korisnici mogu koristiti ovu aplikaciju bez naplate.,1.356407642364502,0.5,0.5,0.5,micro_overlap20
Kada izdavatelj eRačuna mora provoditi postupak eIzvještavanja?,"Izdavatelj eRačuna mora provoditi postupak eIzvještavanja prema odredbama koje su navedene u pravilniku, posebno u vezi s testiranjem podataka s računa i posebnim postupkom oporezivanja marže. Detalji o tim postupcima su regulirani u članku 23. i drugim relevantnim dijelovima pravilnika.",1.7127115726470947,0.5,0.5,0.5,micro_overlap20
Što mora napraviti primatelj eRačuna koji odbija eRačun?,Primatelj eRačuna koji odbija eRačun mora potvrditi odbijanje kroz FiskAplikaciju.,1.0548815727233887,0.5,0.5,0.5,micro_overlap20
Je li podatak KPD-a obvezan na eRačunu i u kojim slučajevima?,Podatak KPD-a je obvezan na eRačunu za obveznike primjene Zakona o fiskalizaciji. Obveznici su dužni koristiti važeći statistički standard Klasifikacija proizvoda po djelatnostima – KPD prilikom izdavanja eRačuna.,2.118394613265991,0.8,0.7,0.6,micro_overlap20
Čemu služi FiskAplikacija i koje funkcionalnosti omogućava?,"FiskAplikacija služi za podršku obveznicima fiskalizacije u provedbi zakonskih obveza vezanih uz promet gotovinom. Omogućava funkcionalnosti kao što su evidentiranje prometa, upravljanje samoposlužnim uređajima, te testiranje sustava elektroničkih naplatnih uređaja u skladu s propisima.",2.099215269088745,0.0,0.5,0.0,micro_overlap20
Što znači status 'Zaprimljen i neuparen' u FiskAplikaciji?,"Status 'Zaprimljen i neuparen' u FiskAplikaciji označava da je račun zaprimljen, ali još nije povezan s odgovarajućim operaterom ili OIB-om u Sustavu za fiskalizaciju. To može značiti da su potrebne dodatne radnje kako bi se račun pravilno obradio i uskladio s potrebnim podacima.",2.255856513977051,0.5,0.5,0.5,micro_overlap20
Što znači status 'Odstupanje' u FiskAplikaciji i treba li zbog toga odbiti račun?,"Status 'Odstupanje' u FiskAplikaciji može ukazivati na to da postoji nesukladnost ili greška u vezi s podacima računa, kao što su neispravne oznake operatera ili OIB. Odbijanje računa može biti potrebno ako se utvrdi da su podaci neispravni ili neusklađeni s propisima o fiskalizaciji. Preporučuje se provjeriti sve relevantne informacije i osigurati da su svi podaci ispravni prije donošenja odluke o odbijanju računa.",2.5875425338745117,0.5,0.5,0.5,micro_overlap20
Što je AMS i čemu služi?,Informacije o AMS nisu dostupne u dostavljenom sadržaju.,1.4879310131072998,0.0,0.0,0.0,micro_overlap20
Kakvu strukturu mora imati broj eRačuna?,Broj eRačuna mora imati brojčanu oznaku koja se ispisuje na fizičkom računu u specifičnom obliku.,1.0445811748504639,0.5,0.5,0.5,micro_overlap20
Što je samoizdavanje eRačuna i kako se provodi fiskalizacija?,"Samoizdavanje eRačuna odnosi se na proces u kojem primatelj eRačuna samostalno generira i izdaje eRačun. Fiskalizacija u ovom kontekstu podrazumijeva obvezu primatelja da do 20. dana u mjesecu dostavi podatke o eRačunima koji su odbijeni u prethodnom mjesecu. Također, obveznici fiskalizacije koji koriste samoposlužne uređaje moraju provoditi fiskalizaciju prodaje u skladu s propisima koji su na snazi.",2.7054007053375244,0.5,0.5,0.7,micro_overlap20
