question,generated_answer,latency,faithfulness,context_relevancy,answer_correctness,strategy
Što je eRačun i mora li biti u PDF formatu?,"eRačun je račun koji je izdan, poslan i zaprimljen u strukturiranom elektroničkom obliku, a omogućuje njegovu automatsku i elektroničku obradu. Nije navedeno da eRačun mora biti u PDF formatu.",2.744873285293579,0.5,0.5,0.5,micro_overlap20
Tko se smatra izdavateljem i primateljem eRačuna prema Zakonu o fiskalizaciji?,"Izdavateljem eRačuna smatra se korisnik sustava ePorezna koji izdaje eRačun, dok je primatelj eRačuna korisnik sustava ePorezna koji prima eRačun.",2.1670143604278564,0.7,0.9,0.6,micro_overlap20
Od kada obveznici koji nisu u sustavu PDV-a moraju izdavati i zaprimati eRačune?,Obveznici koji nisu u sustavu PDV-a moraju izdavati i zaprimati eRačune od 1. travnja 2013. godine.,1.8875877857208252,0.0,0.5,0.0,micro_overlap20
Što je fiskalizacija eRačuna i kada se mora provesti?,"Fiskalizacija eRačuna je proces koji obveznici fiskalizacije moraju provesti kako bi osigurali pravilno evidentiranje i obradu eRačuna. Fiskalizaciju primljenog eRačuna potrebno je provesti odvojeno od postupka razmjene eRačuna, najkasnije pet radnih dana od primitka. Ispravljeni eRačun mora se fiskalizirati odmah nakon slanja i zaprimanja.",4.2773048877716064,0.7,1.0,0.7,micro_overlap20
Koje su glavne razlike između Fiskalizacije 1.0 i Fiskalizacije 2.0?,Nema informacija o razlikama između Fiskalizacije 1.0 i Fiskalizacije 2.0 u dostupnom sadržaju.,1.8206167221069336,0.0,0.0,0.0,micro_overlap20
Što je pristupna točka i tko može biti pristupna točka?,"Pristupna točka obveznika fiskalizacije može biti elektronički uređaj za izdavanje računa ili informacijski sustav obveznika fiskalizacije. Također, može se smatrati naplatnim uređajem ili informacijskim sustavom obveznika fiskalizacije.",1.8921527862548828,0.5,0.5,0.5,micro_overlap20
Što mora informacijski posrednik napraviti da bi mogao pružati usluge?,"Informacijski posrednik mora dostaviti dokumentaciju propisanu člankom 61. kako bi mogao obavljati poslove prema odredbama Zakona. Ako je brisan s Popisa informacijskih posrednika, također mora ispuniti uvjete propisane člankom 59.",2.311544418334961,0.6,0.7,0.4,micro_overlap20
Što je aplikacija MIKROeRAČUN i tko je može koristiti?,Aplikacija MIKROeRAČUN je besplatna aplikacija koja se može koristiti za upravljanje eRačunima. Porezni obveznici koji žele koristiti ovu aplikaciju moraju prihvatiti opće uvjete korištenja.,2.5749518871307373,0.6,1.0,0.7,micro_overlap20
Kada izdavatelj eRačuna mora provoditi postupak eIzvještavanja?,"Izdavatelj eRačuna mora provoditi postupak eIzvještavanja kada nije bilo moguće izdati eRačun za isporuke, a u slučaju samoizdavanja računa najkasnije pet radnih dana nakon što je eRačun izdan.",2.0077531337738037,0.5,0.7,0.5,micro_overlap20
Što mora napraviti primatelj eRačuna koji odbija eRačun?,"Primatelj eRačuna koji odbija eRačun mora dostaviti podatak o odbijanju, čime se smatra da je dao izjavu da neće koristiti pravo na pretporez po tom eRačunu.",1.836512804031372,0.7,0.6,0.8,micro_overlap20
Je li podatak KPD-a obvezan na eRačunu i u kojim slučajevima?,"Da, podatak KPD-a je obvezan na eRačunu. Obveznici primjene Zakona dužni su povezati podatak o stavci robe i usluge s ispravnom klasifikacijskom oznakom iz KPD-a i iskazati je u eRačunu kao šesteroznamenkasti broj.",2.2034425735473633,0.5,0.5,0.5,micro_overlap20
Čemu služi FiskAplikacija i koje funkcionalnosti omogućava?,"FiskAplikacija je aplikacija Porezne uprave koja obveznicima omogućuje pregled fiskaliziranih podataka. Njene funkcionalnosti uključuju pregled podataka iz fiskalizacije računa i eRačuna, kao i uvid u statuse eRačuna, koji mogu biti zaprimljen, naplaćen ili odbijen.",2.954739570617676,0.5,0.5,0.5,micro_overlap20
